index,query,answer,subgraph_nodes,query_fig_name,answer_fig_name,main_relation,query_type,query_text,query_html,explanation_text,explanation_html,baseline_with_explanation,baseline_without_explanation
1,"(p,(Conjunction),(e,(blindness be lack of sight)))",deafness be lack of hearing,"['blindness be lack of sight', 'deafness be lack of hearing']",20220401-144420_q1.png,20220401-144420_a1.png,Conjunction,1p,blindness be lack of sight and the eventuality V? both happen. What is the eventuality V? ?,"<span style=""color:red;"">blindness be lack of sight</span> and <span style=""color:red;"">the eventuality V?</span> both happen. What is the eventuality V? ?",blindness be lack of sight and deafness be lack of hearing both happen.,"<span style=""color:red;"">blindness be lack of sight</span> and <span style=""color:red;"">deafness be lack of hearing</span> both happen.",yes,yes
2,"(p,(Synchronous),(e,(the city be in a state of excitement)))",the time for action come,"['the city be in a state of excitement', 'the time for action come']",20220401-144420_q2.png,20220401-144420_a2.png,Synchronous,1p,the city be in a state of excitement happens the same time as the eventuality V?. What is the eventuality V? ?,"<span style=""color:red;"">the city be in a state of excitement</span> happens the same time as <span style=""color:red;"">the eventuality V?</span>. What is the eventuality V? ?",the city be in a state of excitement happens the same time as the time for action come.,"<span style=""color:red;"">the city be in a state of excitement</span> happens the same time as <span style=""color:red;"">the time for action come</span>.",yes,yes
3,"(p,(Conjunction),(e,(it take forever to get a table)))",the food take a long time,"['it take forever to get a table', 'the food take a long time']",20220401-144420_q3.png,20220401-144420_a3.png,Conjunction,1p,it take forever to get a table and the eventuality V? both happen. What is the eventuality V? ?,"<span style=""color:red;"">it take forever to get a table</span> and <span style=""color:red;"">the eventuality V?</span> both happen. What is the eventuality V? ?",it take forever to get a table and the food take a long time both happen.,"<span style=""color:red;"">it take forever to get a table</span> and <span style=""color:red;"">the food take a long time</span> both happen.",no,no
4,"(p,(Restatement),(e,(PersonX always carry in hand)))",PersonX be a great general,"['PersonX always carry in hand', 'PersonX be a great general']",20220401-144420_q4.png,20220401-144420_a4.png,Restatement,1p,the eventuality V? restates PersonX always carry in hand. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> restates <span style=""color:red;"">PersonX always carry in hand</span>. What is the eventuality V? ?",PersonX be a great general restates PersonX always carry in hand.,"<span style=""color:red;"">PersonX be a great general</span> restates <span style=""color:red;"">PersonX always carry in hand</span>.",yes,yes
5,"(p,(Exception),(e,(PersonX can not give PersonY a exact time frame)))",it be not immediate,"['PersonX can not give PersonY a exact time frame', 'it be not immediate']",20220401-144420_q5.png,20220401-144420_a5.png,Exception,1p,the eventuality V? is an exception of PersonX can not give PersonY a exact time frame. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> is an exception of <span style=""color:red;"">PersonX can not give PersonY a exact time frame</span>. What is the eventuality V? ?",it be not immediate is an exception of PersonX can not give PersonY a exact time frame.,"<span style=""color:red;"">it be not immediate</span> is an exception of <span style=""color:red;"">PersonX can not give PersonY a exact time frame</span>.",no,no
6,"(p,(Contrast),(e,(the first leg of final be play on april)))",the second leg be play on april,"['the first leg of final be play on april', 'the second leg be play on april']",20220401-144420_q6.png,20220401-144420_a6.png,Contrast,1p,the first leg of final be play on april and the eventuality V? share significant difference regarding some property. What is the eventuality V? ?,"<span style=""color:red;"">the first leg of final be play on april</span> and <span style=""color:red;"">the eventuality V?</span> share significant difference regarding some property. What is the eventuality V? ?",the first leg of final be play on april and the second leg be play on april share significant difference regarding some property.,"<span style=""color:red;"">the first leg of final be play on april</span> and <span style=""color:red;"">the second leg be play on april</span> share significant difference regarding some property.",no,yes
7,"(p,(Restatement),(e,(PersonX make repeat time)))",PersonX do not understand the word,"['PersonX make repeat time', 'PersonX do not understand the word']",20220401-144420_q7.png,20220401-144420_a7.png,Restatement,1p,the eventuality V? restates PersonX make repeat time. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> restates <span style=""color:red;"">PersonX make repeat time</span>. What is the eventuality V? ?",PersonX do not understand the word restates PersonX make repeat time.,"<span style=""color:red;"">PersonX do not understand the word</span> restates <span style=""color:red;"">PersonX make repeat time</span>.",no,no
8,"(p,(Concession),(e,(PersonX can not get the idea)))",logically PersonX know,"['PersonX can not get the idea', 'logically PersonX know']",20220401-144420_q8.png,20220401-144420_a8.png,Concession,1p,the eventuality V? happens although PersonX can not get the idea. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> happens although <span style=""color:red;"">PersonX can not get the idea</span>. What is the eventuality V? ?",logically PersonX know happens although PersonX can not get the idea.,"<span style=""color:red;"">logically PersonX know</span> happens although <span style=""color:red;"">PersonX can not get the idea</span>.",yes,yes
9,"(p,(Alternative),(e,(PersonY must have a crush on PersonX)))",PersonX do not prey on PersonY,"['PersonY must have a crush on PersonX', 'PersonX do not prey on PersonY']",20220401-144420_q9.png,20220401-144420_a9.png,Alternative,1p,PersonY must have a crush on PersonX is an alternative situation to the eventuality V?. What is the eventuality V? ?,"<span style=""color:red;"">PersonY must have a crush on PersonX</span> is an alternative situation to <span style=""color:red;"">the eventuality V?</span>. What is the eventuality V? ?",PersonY must have a crush on PersonX is an alternative situation to PersonX do not prey on PersonY.,"<span style=""color:red;"">PersonY must have a crush on PersonX</span> is an alternative situation to <span style=""color:red;"">PersonX do not prey on PersonY</span>.",no,no
10,"(p,(Alternative),(e,(PersonY must have a crush on PersonX)))",PersonY should be careful,"['PersonY must have a crush on PersonX', 'PersonY should be careful']",20220401-144420_q10.png,20220401-144420_a10.png,Alternative,1p,PersonY must have a crush on PersonX is an alternative situation to the eventuality V?. What is the eventuality V? ?,"<span style=""color:red;"">PersonY must have a crush on PersonX</span> is an alternative situation to <span style=""color:red;"">the eventuality V?</span>. What is the eventuality V? ?",PersonY must have a crush on PersonX is an alternative situation to PersonY should be careful.,"<span style=""color:red;"">PersonY must have a crush on PersonX</span> is an alternative situation to <span style=""color:red;"">PersonY should be careful</span>.",no,no
11,"(p,(Contrast),(e,(it might be okay with PersonX)))",it be not okay with PersonY,"['it might be okay with PersonX', 'it be not okay with PersonY']",20220401-144420_q11.png,20220401-144420_a11.png,Contrast,1p,it might be okay with PersonX and the eventuality V? share significant difference regarding some property. What is the eventuality V? ?,"<span style=""color:red;"">it might be okay with PersonX</span> and <span style=""color:red;"">the eventuality V?</span> share significant difference regarding some property. What is the eventuality V? ?",it might be okay with PersonX and it be not okay with PersonY share significant difference regarding some property.,"<span style=""color:red;"">it might be okay with PersonX</span> and <span style=""color:red;"">it be not okay with PersonY</span> share significant difference regarding some property.",no,no
12,"(p,(Condition),(e,(PersonY can hit the other PersonZ)))",PersonX can still hit PersonY,"['PersonY can hit the other PersonZ', 'PersonX can still hit PersonY']",20220401-144420_q12.png,20220401-144420_a12.png,Condition,1p,"When the eventuality V? happens, PersonY can hit the other PersonZ can happen. What is the eventuality V? ?","When <span style=""color:red;"">the eventuality V?</span> happens, <span style=""color:red;"">PersonY can hit the other PersonZ</span> can happen. What is the eventuality V? ?","When PersonX can still hit PersonY happens, PersonY can hit the other PersonZ can happen.","When <span style=""color:red;"">PersonX can still hit PersonY</span> happens, <span style=""color:red;"">PersonY can hit the other PersonZ</span> can happen.",yes,yes
13,"(p,(Exception),(e,(PersonX do n`t anything about PersonY)))",PersonY be greek,"['PersonX do n`t anything about PersonY', 'PersonY be greek']",20220401-144420_q13.png,20220401-144420_a13.png,Exception,1p,the eventuality V? is an exception of PersonX do n`t anything about PersonY. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> is an exception of <span style=""color:red;"">PersonX do n`t anything about PersonY</span>. What is the eventuality V? ?",PersonY be greek is an exception of PersonX do n`t anything about PersonY.,"<span style=""color:red;"">PersonY be greek</span> is an exception of <span style=""color:red;"">PersonX do n`t anything about PersonY</span>.",no,no
14,"(p,(Precedence),(e,(sometimes PersonX pick PersonY up)))",PersonX pull PersonY up,"['sometimes PersonX pick PersonY up', 'PersonX pull PersonY up']",20220401-144420_q14.png,20220401-144420_a14.png,Precedence,1p,sometimes PersonX pick PersonY up happens before the eventuality V?. What is the eventuality V? ?,"<span style=""color:red;"">sometimes PersonX pick PersonY up</span> happens before <span style=""color:red;"">the eventuality V?</span>. What is the eventuality V? ?",sometimes PersonX pick PersonY up happens before PersonX pull PersonY up.,"<span style=""color:red;"">sometimes PersonX pick PersonY up</span> happens before <span style=""color:red;"">PersonX pull PersonY up</span>.",no,no
15,"(p,(Restatement),(e,(PersonX seem to desire)))",PersonX wish PersonY follow PersonX,"['PersonX seem to desire', 'PersonX wish PersonY follow PersonX']",20220401-144420_q15.png,20220401-144420_a15.png,Restatement,1p,the eventuality V? restates PersonX seem to desire. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> restates <span style=""color:red;"">PersonX seem to desire</span>. What is the eventuality V? ?",PersonX wish PersonY follow PersonX restates PersonX seem to desire.,"<span style=""color:red;"">PersonX wish PersonY follow PersonX</span> restates <span style=""color:red;"">PersonX seem to desire</span>.",no,no
16,"(p,(Restatement),(e,(the music swell to storm)))",the end of thing have come,"['the music swell to storm', 'the end of thing have come']",20220401-144420_q16.png,20220401-144420_a16.png,Restatement,1p,the eventuality V? restates the music swell to storm. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> restates <span style=""color:red;"">the music swell to storm</span>. What is the eventuality V? ?",the end of thing have come restates the music swell to storm.,"<span style=""color:red;"">the end of thing have come</span> restates <span style=""color:red;"">the music swell to storm</span>.",yes,no
