index,query,answer,subgraph_nodes,query_fig_name,answer_fig_name,main_relation,query_type,query_text,query_html,explanation_text,explanation_html,baseline_with_explanation,baseline_without_explanation
1,"(p,(Restatement),(e,(PersonX will be a elite defender)))",it be a forgone conclusion,"['PersonX will be a elite defender', 'it be a forgone conclusion']",20220414-171637-batch-0-q-1.jpg,20220414-171637-batch-0-a-1.jpg,Restatement,1p,the eventuality V? restates PersonX will be a elite defender. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> restates <span style=""color:red;"">PersonX will be a elite defender</span>. What is the eventuality V? ?",it be a forgone conclusion restates PersonX will be a elite defender.,"<span style=""color:red;"">it be a forgone conclusion</span> restates <span style=""color:red;"">PersonX will be a elite defender</span>.",no,no
2,"(p,(Conjunction),(e,(PersonX be a one-night stand)))",PersonY never want to see PersonX again,"['PersonX be a one-night stand', 'PersonY never want to see PersonX again']",20220414-171637-batch-0-q-2.jpg,20220414-171637-batch-0-a-2.jpg,Conjunction,1p,PersonX be a one-night stand and the eventuality V? both happen. What is the eventuality V? ?,"<span style=""color:red;"">PersonX be a one-night stand</span> and <span style=""color:red;"">the eventuality V?</span> both happen. What is the eventuality V? ?",PersonX be a one-night stand and PersonY never want to see PersonX again both happen.,"<span style=""color:red;"">PersonX be a one-night stand</span> and <span style=""color:red;"">PersonY never want to see PersonX again</span> both happen.",no,no
3,"(p,(Concession),(e,(it will not hurt the tree)))",it be a baby,"['it will not hurt the tree', 'it be a baby']",20220414-171637-batch-0-q-3.jpg,20220414-171637-batch-0-a-3.jpg,Concession,1p,the eventuality V? happens although it will not hurt the tree. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> happens although <span style=""color:red;"">it will not hurt the tree</span>. What is the eventuality V? ?",it be a baby happens although it will not hurt the tree.,"<span style=""color:red;"">it be a baby</span> happens although <span style=""color:red;"">it will not hurt the tree</span>.",yes,yes
5,"(p,(Concession),(e,(the criminal outcome would be the same)))",it be fraudulently obtain,"['the criminal outcome would be the same', 'it be fraudulently obtain']",20220414-171637-batch-0-q-5.jpg,20220414-171637-batch-0-a-5.jpg,Concession,1p,the eventuality V? happens although the criminal outcome would be the same. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> happens although <span style=""color:red;"">the criminal outcome would be the same</span>. What is the eventuality V? ?",it be fraudulently obtain happens although the criminal outcome would be the same.,"<span style=""color:red;"">it be fraudulently obtain</span> happens although <span style=""color:red;"">the criminal outcome would be the same</span>.",yes,yes
6,"(p,(Concession),(e,(the criminal outcome would be the same)))",PersonX cancel it,"['the criminal outcome would be the same', 'PersonX cancel it']",20220414-171637-batch-0-q-6.jpg,20220414-171637-batch-0-a-6.jpg,Concession,1p,the eventuality V? happens although the criminal outcome would be the same. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> happens although <span style=""color:red;"">the criminal outcome would be the same</span>. What is the eventuality V? ?",PersonX cancel it happens although the criminal outcome would be the same.,"<span style=""color:red;"">PersonX cancel it</span> happens although <span style=""color:red;"">the criminal outcome would be the same</span>.",no,no
7,"(p,(Concession),(e,(the criminal outcome would be the same)))",PersonY cancel it,"['the criminal outcome would be the same', 'PersonY cancel it']",20220414-171637-batch-0-q-7.jpg,20220414-171637-batch-0-a-7.jpg,Concession,1p,the eventuality V? happens although the criminal outcome would be the same. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> happens although <span style=""color:red;"">the criminal outcome would be the same</span>. What is the eventuality V? ?",PersonY cancel it happens although the criminal outcome would be the same.,"<span style=""color:red;"">PersonY cancel it</span> happens although <span style=""color:red;"">the criminal outcome would be the same</span>.",no,no
8,"(p,(Reason),(e,(no one should have to go)))",some people can not control themselves,"['no one should have to go', 'some people can not control themselves']",20220414-171637-batch-0-q-8.jpg,20220414-171637-batch-0-a-8.jpg,Reason,1p,no one should have to go happens because the eventuality V?. What is the eventuality V? ?,"<span style=""color:red;"">no one should have to go</span> happens because <span style=""color:red;"">the eventuality V?</span>. What is the eventuality V? ?",no one should have to go happens because some people can not control themselves.,"<span style=""color:red;"">no one should have to go</span> happens because <span style=""color:red;"">some people can not control themselves</span>.",no,no
9,"(p,(Exception),(e,(it be like reality tv)))",it be actually real,"['it be like reality tv', 'it be actually real']",20220414-171637-batch-0-q-9.jpg,20220414-171637-batch-0-a-9.jpg,Exception,1p,the eventuality V? is an exception of it be like reality tv. What is the eventuality V? ?,"<span style=""color:red;"">the eventuality V?</span> is an exception of <span style=""color:red;"">it be like reality tv</span>. What is the eventuality V? ?",it be actually real is an exception of it be like reality tv.,"<span style=""color:red;"">it be actually real</span> is an exception of <span style=""color:red;"">it be like reality tv</span>.",no,no
10,"(p,(Result),(e,(PersonX see PersonY two officer)))",PersonX decide to make a run for it,"['PersonX see PersonY two officer', 'PersonX decide to make a run for it']",20220414-171637-batch-0-q-10.jpg,20220414-171637-batch-0-a-10.jpg,Result,1p,PersonX see PersonY two officer result in the eventuality V?. What is the eventuality V? ?,"<span style=""color:red;"">PersonX see PersonY two officer</span> result in <span style=""color:red;"">the eventuality V?</span>. What is the eventuality V? ?",PersonX see PersonY two officer result in PersonX decide to make a run for it.,"<span style=""color:red;"">PersonX see PersonY two officer</span> result in <span style=""color:red;"">PersonX decide to make a run for it</span>.",yes,yes
11,"(p,(Precedence),(e,(jerusalem will be trample down by gentiles)))",the time of gentiles be fulfil,"['jerusalem will be trample down by gentiles', 'the time of gentiles be fulfil']",20220414-171637-batch-0-q-11.jpg,20220414-171637-batch-0-a-11.jpg,Precedence,1p,jerusalem will be trample down by gentiles happens before the eventuality V?. What is the eventuality V? ?,"<span style=""color:red;"">jerusalem will be trample down by gentiles</span> happens before <span style=""color:red;"">the eventuality V?</span>. What is the eventuality V? ?",jerusalem will be trample down by gentiles happens before the time of gentiles be fulfil.,"<span style=""color:red;"">jerusalem will be trample down by gentiles</span> happens before <span style=""color:red;"">the time of gentiles be fulfil</span>.",yes,yes
