index,query,answer,subgraph_nodes,query_fig_name,answer_fig_name,main_relation,query_type,query_text,query_html,explanation_text,explanation_html
1,"(p,(Synchronous),(e,(PersonX will not tell PersonZ about PersonY)))",PersonY never exist at all,"['PersonX will not tell PersonZ about PersonY', 'PersonY never exist at all']",20220420-174733-batch-0-q-1.jpg,20220420-174733-batch-0-a-1.jpg,Synchronous,1p,PersonX will not tell PersonZ about PersonY happens the same time as the event V?. What is the event V? ?,"<span style=""color:red;"">PersonX will not tell PersonZ about PersonY</span> happens the same time as <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX will not tell PersonZ about PersonY happens the same time as PersonY never exist at all.,"<span style=""color:red;"">PersonX will not tell PersonZ about PersonY</span> happens the same time as <span style=""color:red;"">PersonY never exist at all</span>."
2,"(p,(Conjunction),(e,(the richer get richer)))",the poor get poorer,"['the richer get richer', 'the poor get poorer']",20220420-174733-batch-0-q-2.jpg,20220420-174733-batch-0-a-2.jpg,Conjunction,1p,the richer get richer and the event V? both happen. What is the event V? ?,"<span style=""color:red;"">the richer get richer</span> and <span style=""color:red;"">the event V?</span> both happen. What is the event V? ?",the richer get richer and the poor get poorer both happen.,"<span style=""color:red;"">the richer get richer</span> and <span style=""color:red;"">the poor get poorer</span> both happen."
3,"(p,(Concession),(e,(PersonY will not comment on it)))",anything be a lie,"['PersonY will not comment on it', 'anything be a lie']",20220420-174733-batch-0-q-3.jpg,20220420-174733-batch-0-a-3.jpg,Concession,1p,the event V? happens although PersonY will not comment on it. What is the event V? ?,"<span style=""color:red;"">the event V?</span> happens although <span style=""color:red;"">PersonY will not comment on it</span>. What is the event V? ?",anything be a lie happens although PersonY will not comment on it.,"<span style=""color:red;"">anything be a lie</span> happens although <span style=""color:red;"">PersonY will not comment on it</span>."
4,"(p,(Alternative),(e,(PersonX get out of training)))",the result will be the same,"['PersonX get out of training', 'the result will be the same']",20220420-174733-batch-0-q-4.jpg,20220420-174733-batch-0-a-4.jpg,Alternative,1p,PersonX get out of training is an alternative situation to the event V?. What is the event V? ?,"<span style=""color:red;"">PersonX get out of training</span> is an alternative situation to <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX get out of training is an alternative situation to the result will be the same.,"<span style=""color:red;"">PersonX get out of training</span> is an alternative situation to <span style=""color:red;"">the result will be the same</span>."
5,"(p,(Reason),(e,(PersonX best friend do not want to hang out with PersonX)))",PersonY do not like PersonX back,"['PersonX best friend do not want to hang out with PersonX', 'PersonY do not like PersonX back']",20220420-174733-batch-0-q-5.jpg,20220420-174733-batch-0-a-5.jpg,Reason,1p,PersonX best friend do not want to hang out with PersonX happens because the event V?. What is the event V? ?,"<span style=""color:red;"">PersonX best friend do not want to hang out with PersonX</span> happens because <span style=""color:red;"">the event V?</span>. What is the event V? ?",PersonX best friend do not want to hang out with PersonX happens because PersonY do not like PersonX back.,"<span style=""color:red;"">PersonX best friend do not want to hang out with PersonX</span> happens because <span style=""color:red;"">PersonY do not like PersonX back</span>."
6,"(p,(Conjunction),(e,(the time for deliberation have pass)))",the time for action have come,"['the time for deliberation have pass', 'the time for action have come']",20220420-174733-batch-0-q-6.jpg,20220420-174733-batch-0-a-6.jpg,Conjunction,1p,the time for deliberation have pass and the event V? both happen. What is the event V? ?,"<span style=""color:red;"">the time for deliberation have pass</span> and <span style=""color:red;"">the event V?</span> both happen. What is the event V? ?",the time for deliberation have pass and the time for action have come both happen.,"<span style=""color:red;"">the time for deliberation have pass</span> and <span style=""color:red;"">the time for action have come</span> both happen."
7,"(p,(Exception),(e,(PersonY actually have a valid point)))",it do not solve,"['PersonY actually have a valid point', 'it do not solve']",20220420-174733-batch-0-q-7.jpg,20220420-174733-batch-0-a-7.jpg,Exception,1p,the event V? is an exception of PersonY actually have a valid point. What is the event V? ?,"<span style=""color:red;"">the event V?</span> is an exception of <span style=""color:red;"">PersonY actually have a valid point</span>. What is the event V? ?",it do not solve is an exception of PersonY actually have a valid point.,"<span style=""color:red;"">it do not solve</span> is an exception of <span style=""color:red;"">PersonY actually have a valid point</span>."
8,"(p,(Exception),(e,(PersonY actually have a valid point)))",the problem pose,"['PersonY actually have a valid point', 'the problem pose']",20220420-174733-batch-0-q-8.jpg,20220420-174733-batch-0-a-8.jpg,Exception,1p,the event V? is an exception of PersonY actually have a valid point. What is the event V? ?,"<span style=""color:red;"">the event V?</span> is an exception of <span style=""color:red;"">PersonY actually have a valid point</span>. What is the event V? ?",the problem pose is an exception of PersonY actually have a valid point.,"<span style=""color:red;"">the problem pose</span> is an exception of <span style=""color:red;"">PersonY actually have a valid point</span>."
9,"(p,(Contrast),(e,(it be not even the beginning of end)))",it be the end of beginning,"['it be not even the beginning of end', 'it be the end of beginning']",20220420-174733-batch-0-q-9.jpg,20220420-174733-batch-0-a-9.jpg,Contrast,1p,it be not even the beginning of end and the event V? share significant difference regarding some property. What is the event V? ?,"<span style=""color:red;"">it be not even the beginning of end</span> and <span style=""color:red;"">the event V?</span> share significant difference regarding some property. What is the event V? ?",it be not even the beginning of end and it be the end of beginning share significant difference regarding some property.,"<span style=""color:red;"">it be not even the beginning of end</span> and <span style=""color:red;"">it be the end of beginning</span> share significant difference regarding some property."
10,"(p,(Instantiation),(e,(it have long be PersonY contention)))",the ground version cook a great deal,"['it have long be PersonY contention', 'the ground version cook a great deal']",20220420-174733-batch-0-q-10.jpg,20220420-174733-batch-0-a-10.jpg,Instantiation,1p,the event V? is a more detailed description of it have long be PersonY contention. What is the event V? ?,"<span style=""color:red;"">the event V?</span> is a more detailed description of <span style=""color:red;"">it have long be PersonY contention</span>. What is the event V? ?",the ground version cook a great deal is a more detailed description of it have long be PersonY contention.,"<span style=""color:red;"">the ground version cook a great deal</span> is a more detailed description of <span style=""color:red;"">it have long be PersonY contention</span>."
